YEAR,MONTH,IDADMIN1,IDADMIN2,ADMIN1,ADMIN2,CLIN,CONF_TOTAL,CONF_MIC,CONF_RDT,CONF_PCR,POS_0_11_MO_M,POS_0_11_MO_F,PO_1_4_YO_M,PO_1_4_YO_F,POS_5_9_YO_M,POS_5_9_YO_F,POS_10_14_YO_M,POS_10_14_YO_F,POS_15_64_YO_M,POS_15_64_YO_F,POS_OVER_64_M,POS_OVER_64_F,POS_0_4,POS_5_9,POS_10_14,POS_15_64,POS_OVER_64,POS_PREGNANT,POS_PF,POS_PV,POS_PM_PO,POS_MIX,POS_PK,POS_MALE,POS_FEMALE,POS_GENDER_TOTAL,POS_SPECIES_TOTAL
2019,8,91,9104,PAPUA BARAT,TELUK BINTUNI,125,424,229,195,0,1,0,2,0,0,0,0,0,2,0,0,0,3,0,0,2,0,0,1,3,0,1,0,4,1,5,5
2019,8,91,9105,PAPUA BARAT,MANOKWARI,4510,4693,4323,370,0,10,0,40,0,32,0,19,0,113,0,3,0,50,32,19,113,3,0,71,125,0,22,0,134,83,217,218
2019,8,91,9106,PAPUA BARAT,SORONG SELATAN,228,243,171,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,8,91,9107,PAPUA BARAT,SORONG,904,1377,445,932,0,0,0,4,0,7,0,3,0,10,0,0,0,4,7,3,10,0,0,5,16,0,3,0,13,11,24,24
2019,8,91,9108,PAPUA BARAT,RAJA AMPAT,162,714,52,662,0,0,0,2,0,2,0,2,0,10,0,0,0,2,2,2,10,0,0,8,4,0,4,0,12,4,16,16
2019,8,91,9109,PAPUA BARAT,TAMBRAUW,142,156,35,121,0,0,0,6,0,3,0,2,0,7,0,0,0,6,3,2,7,0,0,11,3,0,4,0,10,8,18,18
2019,8,91,9110,PAPUA BARAT,MAYBRAT,30,31,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,8,91,9111,PAPUA BARAT,MANOKWARI SELATAN,492,529,473,56,0,2,0,6,0,6,0,3,0,27,0,0,0,8,6,3,27,0,0,21,15,0,8,0,23,21,44,44
2019,8,91,9112,PAPUA BARAT,PEGUNUNGAN ARFAK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,8,91,9171,PAPUA BARAT,KOTA SORONG,830,1004,580,424,0,0,0,2,0,3,0,3,0,23,0,0,0,2,3,3,23,0,0,12,17,0,2,0,20,11,31,31
2019,8,94,9401,PAPUA,MERAUKE,1589,2448,1471,977,0,4,0,22,0,15,0,14,0,120,0,10,0,26,15,14,120,10,0,44,139,0,3,0,122,63,185,186
2019,8,94,9402,PAPUA,JAYAWIJAYA,569,2307,650,1657,0,0,0,1,0,3,0,0,0,34,0,1,0,1,3,0,34,1,0,12,27,0,1,0,28,11,39,40
2019,8,94,9403,PAPUA,JAYAPURA,7229,8534,6677,1857,0,14,0,248,0,377,0,321,0,972,0,46,0,262,377,321,972,46,0,1173,435,16,355,0,1064,914,1978,1979
2019,8,94,9404,PAPUA,NABIRE,3800,4202,3715,487,0,5,0,24,0,25,0,18,0,150,0,3,0,29,25,18,150,3,0,126,75,0,24,0,150,75,225,225
2019,8,94,9408,PAPUA,KEPULAUAN YAPEN,367,1015,714,301,0,35,0,148,0,125,0,62,0,224,0,8,0,183,125,62,224,8,0,488,66,0,48,0,265,337,602,602
2019,8,94,9409,PAPUA,BIAK NUMFOR,3596,4184,3849,335,0,0,0,3,0,6,0,1,0,34,0,2,0,3,6,1,34,2,0,29,15,0,2,0,32,14,46,46
2019,8,94,9410,PAPUA,PANIAI,301,301,154,147,0,0,0,1,0,1,0,2,0,17,0,0,0,1,1,2,17,0,0,15,5,1,0,0,14,7,21,21
2019,8,94,9411,PAPUA,PUNCAK JAYA,0,586,586,0,0,0,0,6,0,2,0,1,0,30,0,0,0,6,2,1,30,0,0,29,10,0,0,0,30,9,39,39
2019,8,94,9412,PAPUA,MIMIKA,20586,22546,20402,2144,0,93,0,872,0,964,0,744,0,4776,0,52,0,965,964,744,4776,52,0,3925,3038,154,384,0,4175,3326,7501,7501
2019,8,94,9413,PAPUA,BOVEN DIGOEL,1938,2380,1509,871,0,11,0,107,0,74,0,43,0,288,0,16,0,118,74,43,288,16,0,337,123,3,74,0,314,225,539,537
2019,8,94,9414,PAPUA,MAPPI,1667,2006,1475,531,0,10,0,54,0,52,0,27,0,83,0,1,0,64,52,27,83,1,0,141,31,0,55,0,125,102,227,227
2019,8,94,9415,PAPUA,ASMAT,1119,1119,615,504,0,23,0,102,0,81,0,44,0,180,0,2,0,125,81,44,180,2,0,269,78,0,87,0,232,200,432,434
2019,8,94,9416,PAPUA,YAHUKIMO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,8,94,9417,PAPUA,PEGUNUNGAN BINTANG,150,155,120,35,0,2,0,25,0,12,0,0,0,69,0,0,0,27,12,0,69,0,0,73,29,1,5,0,66,42,108,108
2019,8,94,9418,PAPUA,TOLIKARA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,8,94,9419,PAPUA,SARMI,2409,3669,2728,941,0,15,0,238,0,290,0,203,0,811,0,15,0,253,290,203,811,15,0,974,398,20,183,0,874,698,1572,1575
2019,8,94,9420,PAPUA,KEEROM,3389,5847,5192,655,0,9,0,154,0,177,0,137,0,633,0,567,0,163,177,137,633,567,0,995,450,56,186,0,945,732,1677,1687
2019,8,94,9426,PAPUA,WAROPEN,0,441,408,33,0,13,0,46,0,34,0,11,0,117,0,5,0,59,34,11,117,5,0,218,6,0,2,0,107,119,226,226
